vehicle,brand,model,category,sales,year,month,source
Toyota RAV4,Toyota,RAV4,bev,149,2014,5,hybridcars.com
BMW i3,BMW,i3,bev,358,2014,6,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,97,2014,6,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,85,2014,6,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1777,2014,6,hybridcars.com
Fiat 500e,Fiat,500e,bev,166,2014,6,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,988,2014,6,hybridcars.com
Ford Focus,Ford,Focus,bev,197,2014,6,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1939,2014,6,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,28,2014,6,hybridcars.com
Honda Fit,Honda,Fit,bev,38,2014,6,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,22,2014,6,hybridcars.com
